intprop,phone,address,city,st,postalcode,ftruckrental,ftruckrentalss,fdisplay,fltInStorePerc,facq,community
82,3154373583,6523 Basile Rowe,East Syracuse,NY,13057,-1,0,TRUE,1.1,TRUE,East Syracuse
94,3154577222,7266 Henry Clay Blvd,Liverpool,NY,13088,0,0,TRUE,1.1,TRUE,Liverpool
242,3154220191,430 Spencer Street,Syracuse,NY,13204,0,-1,TRUE,1.1,TRUE,Lakefront
278,3156998996,8239 Thompson Rd,Cicero,NY,13039,0,0,TRUE,1.1,TRUE,Cicero
493,3154797233,314 Ainsley Drive,Syracuse,NY,13210,0,0,TRUE,1.1,TRUE,Syracuse University
494,3156987666,5666 State Route 31,Cicero,NY,13039,0,0,TRUE,1.1,TRUE,Cicero
